1,2022-11-01,2022-07-17,2023-10-17,0
2,2022-11-01,2022-11-01,2023-07-24,0
3,2022-11-01,2023-08-06,2023-10-18,0
4,2022-11-01,2022-11-01,2023-04-17,0
5,2022-11-01,2023-10-06,2024-04-01,0
6,2022-11-01,2022-11-01,2023-07-24,0
7,2022-11-01,2023-09-02,2023-11-20,0
8,2022-11-01,2023-07-26,2023-10-24,0
9,2022-11-01,2023-08-14,2023-11-03,0
10,2022-11-01,2022-11-01,2023-07-24,0
11,2022-11-01,2022-11-01,2023-07-24,0
12,2022-11-01,2023-08-26,2023-10-24,0
13,2022-11-01,2023-07-24,2023-10-24,0
14,2022-11-01,2023-03-20,2023-09-25,0
15,2022-11-01,2022-11-01,2023-07-24,0
16,2022-11-01,2022-11-01,2023-02-20,0
17,2022-11-01,2022-11-01,2023-06-09,0
18,2022-11-01,2022-09-24,2023-12-02,0
19,2022-11-01,2022-11-01,2023-04-10,0
20,2022-11-01,2022-11-01,2023-05-23,0
21,2022-11-01,2022-11-01,2023-10-23,0
22,2022-11-01,2022-11-01,2023-05-12,0
23,2022-11-01,2023-10-06,2024-04-03,0
24,2022-11-01,2023-07-12,2023-10-09,0
25,2022-11-01,2023-09-14,2023-12-04,0
26,2022-11-01,2022-11-01,2023-03-29,0
27,2022-11-01,2022-11-01,2023-06-07,0
28,2022-11-01,2022-11-01,2023-07-24,0
29,2022-11-01,2022-11-01,2023-06-09,0
30,2022-11-01,2022-07-25,2023-10-13,0
31,2022-11-01,2022-11-01,2023-07-25,0
32,2022-11-01,2022-11-01,2023-07-25,0
33,2022-11-01,2022-11-01,2023-07-25,0
34,2022-11-01,2023-08-26,2023-11-23,0
35,2022-11-01,2022-11-01,2023-07-25,0
36,2022-11-01,2023-09-13,2023-10-12,0
37,2022-11-01,2023-07-26,2023-10-11,0
38,2022-11-01,2023-05-03,2023-08-01,0
39,2022-11-01,2022-11-01,2023-05-23,0
40,2022-11-01,2023-07-14,2023-10-12,0
41,2022-11-01,2022-07-25,2023-10-21,0
42,2022-11-01,2023-07-15,2023-10-04,0
43,2022-11-01,2023-04-05,2023-07-05,0
44,2022-11-01,2022-11-01,2023-07-25,0
45,2022-11-01,2022-07-22,2023-10-21,0
46,2022-11-01,2022-11-01,2023-01-24,0
47,2022-11-01,2022-11-01,2023-01-11,0
48,2022-11-01,2022-11-01,2023-05-20,0
49,2022-11-01,2022-11-01,2023-02-16,0
50,2022-11-01,2022-11-01,2023-07-25,0
51,2022-11-01,2022-11-01,2023-07-25,0
52,2022-11-01,2023-07-14,2023-10-09,0
53,2022-11-01,2023-10-06,2024-04-03,0
54,2022-11-01,2022-11-01,2023-07-25,0
55,2022-11-01,2022-11-01,2023-07-25,0
56,2022-11-01,2022-11-01,2023-05-23,0
57,2022-11-01,2022-11-01,2023-07-19,0
58,2022-11-01,2023-08-10,2023-11-10,0
59,2022-11-01,2023-10-09,2024-04-05,0
60,2022-11-01,2023-09-03,2023-11-14,0
61,2022-11-01,2022-11-01,2023-07-26,0
62,2022-11-01,2023-10-10,2024-04-05,0
63,2022-11-01,2023-08-28,2023-11-13,0
64,2022-11-01,2022-11-01,2023-07-26,0
65,2022-11-01,2022-11-01,2023-07-26,0
66,2022-11-01,2022-11-01,2023-10-09,0
67,2022-11-01,2023-08-15,2023-11-01,0
68,2022-11-01,2022-11-01,2023-03-27,0
69,2022-11-01,2023-07-14,2023-10-11,0
70,2022-11-01,2023-10-06,2024-04-01,0
71,2022-11-01,2022-11-01,2023-07-26,0
72,2022-11-01,2022-05-14,2023-07-24,0
73,2022-11-01,2022-11-01,2023-06-09,0
74,2022-11-01,2022-11-01,2023-06-09,0
75,2022-11-01,2022-07-25,2023-10-17,0
